Código,Nome,Nome (Inglês),Nome Científico,Grupo,Marca
C0980B,"Salada, pimentão verde, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), c/ sal","Salad, green bell pepper, sauce with tomato, onion, parsley, vinegar and oil, with salt",,Vegetais e derivados,
C0534B,"Salada, pimentão verde, cru, c/ azeite de oliva, c/ sal","Salad, green bell pepper, raw, with olive oil, with salt",,Vegetais e derivados,
C0536B,"Salada, pimentão verde, cru, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal","Salad, green bell pepper, raw, with sauce for salad - parsley, lemon juice, olive oil, with salt",,Vegetais e derivados,
C0537B,"Salada, pimentão verde, cru, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal","Salad, green bell pepper, raw, with sauce for salad - parsley, apple vinegar, olive oil, with salt",,Vegetais e derivados,
C0539B,"Salada, pimentão verde, cru, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), s/ sal","Salad, green bell pepper, raw, sauce with tomato, onion, parsley, vinegar and olive oil, unsalted",,Vegetais e derivados,
C0535B,"Salada, pimentão verde, cru, c/ óleo de soja, c/ sal","Salad, green bell pepper, raw, with soy oil, with salt",,Vegetais e derivados,
C0538B,"Salada, pimentão verde, cru, s/ óleo, s/ sal","Salad, green bell pepper, raw, without oil, unsalted",,Vegetais e derivados,
C1015B,"Salada, primavera, c/ sal","Salad, with salt",,Vegetais e derivados,
C1016B,"Salada, primavera, s/ sal","Salad, unsalted",,Vegetais e derivados,
C0622B,"Salada, rabanete, c/ azeite de oliva, c/ sal","Salad, radish, with olive oil, with salt",,Vegetais e derivados,
C0319B,"Salada, rabanete, c/ casca, cru, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), c/ sal","Salad, radish, unpeeled, raw, with sauce ( tomato, onion, parsley, vinegar and oil), with salt",Raphanus sativus L.,Vegetais e derivados,
C0318B,"Salada, rabanete, c/ casca, cru, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), s/ sal","Salad, radish, unpeeled, raw, with sauce ( tomato, onion, parsley, vinegar and oil), unsalted",Raphanus sativus L.,Vegetais e derivados,
C0624B,"Salada, rabanete, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal","Salad, radish, with sauce for salad - parsley, lemon juice, olive oil, with salt",,Vegetais e derivados,
C0625B,"Salada, rabanete, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal","Salad, radish, with sauce for salad - parsley, apple vinager, olive oil, with salt",,Vegetais e derivados,
C0623B,"Salada, rabanete, c/ óleo de soja, c/ sal","Salad, radish, with soy oil, with salt",,Vegetais e derivados,
C0626B,"Salada, rabanete, s/ óleo, s/ sal","Salad, radish, without oil, unsalted",,Vegetais e derivados,
C1013B,"Salada, repolho branco, c/ maionese, c/ uva passa, c/ sal","Salad, white cabbage, with mayonnaise, with raisin, with salt",,Vegetais e derivados,
C1014B,"Salada, repolho branco, c/ maionese, c/ uva passa, s/ sal","Salad, white cabbage, with mayonnaise, with raisin, unsalted",,Vegetais e derivados,
C0627B,"Salada, repolho roxo cru, c/ azeite de oliva, c/ sal","Salad, raw red cabbage, with olive oil, with salt",,Vegetais e derivados,
C0629B,"Salada, repolho roxo cru, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal","Salad, raw red cabbage, with sauce for salad - parsley, lemon juice, olive oil, with salt",,Vegetais e derivados,
C0630B,"Salada, repolho roxo cru, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal","Salad, raw red cabbage, with sauce for salad - parsley, apple vinegar, olive oil, with salt",,Vegetais e derivados,
C0632B,"Salada, repolho roxo cru, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), c/ sal","Salad, raw red cabbage, sauce with tomato, onion, parsley, vinegar and olive oil, with salt",,Vegetais e derivados,
C0628B,"Salada, repolho roxo cru, c/ óleo de soja, c/ sal","Salad, raw red cabbage, with soy oil, with salt",,Vegetais e derivados,
C0631B,"Salada, repolho roxo cru, s/ óleo, s/ sal","Salad, raw red cabbage, without oil, unsalted",,Vegetais e derivados,
C1028B,"Salada, repolho roxo, cru, c/ azeite de oliva, c/ sal","Salad, red cabbage, raw, with olive oil, with salt",,Vegetais e derivados,
C1029B,"Salada, repolho roxo, cru, c/ azeite de oliva, s/ sal","Salad, red cabbage, raw, with olive oil, unsalted",,Vegetais e derivados,
C0982B,"Salada, repolho verde cru, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), c/ sal","Salad, raw green cabbage, sauce with tomato, onion, parsley, vinegar and oil, with salt",,Vegetais e derivados,
C0551B,"Salada, repolho, branco, cru, c/ azeite de oliva, c/ sal","Salad, cabbage white, raw, with olive oil, with salt",,Vegetais e derivados,
C0553B,"Salada, repolho, branco, cru, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal","Salad, white cabbage, raw, with sauce for salad - parsley, lemon juice, with olive oil, with salt",,Vegetais e derivados,
C0554B,"Salada, repolho, branco, cru, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal","Salad, white cabbage, raw, with sauce for salad - parsley, lemon juice, with olive oil, with salt",,Vegetais e derivados,
C0186B,"Salada, repolho, branco, cru, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), c/ sal","Salad, cabbage, white, raw, with sauce ( tomato, onion, parsley, vinegar and oil), with salt",Brassica oleracea L. var. capitata,Vegetais e derivados,
C0185B,"Salada, repolho, branco, cru, c/ molho vinagrete (tomate, cebola, salsinha, vinagre e óleo), s/ sal","Salad, cabbage, white, raw, with sauce ( tomato, onion, parsley, vinegar and oil), unsalted",Brassica oleracea L. var. capitata,Vegetais e derivados,
C0552B,"Salada, repolho, branco, cru, c/ óleo de soja, c/ sal","Salad, cabbage white, raw, with soy oil, with salt",,Vegetais e derivados,
C0555B,"Salada, repolho, branco, cru, s/ óleo, s/ sal","Salad, cabbage white, raw, without oil, unsalted",,Vegetais e derivados,
C0423B,"Salada, repolho, vagem cozida, tomate, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), c/ sal","Salad, white cabbage, cooked beans snap, tomato, sauce with tomato, onion, parsley, vinegar and oil, with salt",,Vegetais e derivados,
C0424B,"Salada, repolho, vagem cozida, tomate, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), s/ sal","Salad, white cabbage, cooked beans snap, tomato, sauce with tomato, onion, parsley, vinegar and oil, unsalted",,Vegetais e derivados,
C0633B,"Salada, rúcula, c/ azeite de oliva, c/ sal","Salad, arugula, with olive oil, with salt",,Vegetais e derivados,
C0635B,"Salada, rúcula, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal","Salad, arugula, with sauce for salad - parsley, lemon juice, olive oil, with salt",,Vegetais e derivados,
C0636B,"Salada, rúcula, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal","Salad, arugula, with sauce for salad - parsley, apple vinager, olive oil, with salt",,Vegetais e derivados,
C0638B,"Salada, rúcula, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), c/ sal","Salad, arugula, sauce with tomato, onion, parsley, vinegar and olive oil, with salt",,Vegetais e derivados,
C0991B,"Salada, rúcula, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), s/ sal","Salad, arugula, sauce with tomato, onion, parsley, vinegar and oil, unsalted",,Vegetais e derivados,
C0634B,"Salada, rúcula, c/ óleo de soja, c/ sal","Salad, arugula, with soy oil, with salt",,Vegetais e derivados,
C0637B,"Salada, rúcula, s/ óleo, s/ sal","Salad, arugula, without oil, unsalted",,Vegetais e derivados,
C0193T,"Salada, soja, c/ molho vinagrete (tomate, cebola, salsa, vinagre e azeite de oliva), c/ sal","Salad, soy bean, with sauce (tomato, onion, parsley, vinegar and olive oil), with salt",,Leguminosas e derivados,
C0557B,"Salada, tomate, c/ azeite de oliva, c/ sal","Salad, tomato, with olive oil, with salt",,Vegetais e derivados,
C0559B,"Salada, tomate, c/ molho de salada - salsa, suco de limão, azeite de oliva, c/ sal","Salad, tomato, with sauce for salad - parsley, lemon juice, with olive oil, with salt",,Vegetais e derivados,
C0560B,"Salada, tomate, c/ molho de salada - salsa, vinagre de maçã, azeite de oliva, c/ sal","Salad, tomato, with sauce for salad - parsley, apple vinegar, with olives oil, with salt",,Vegetais e derivados,
C0558B,"Salada, tomate, c/ óleo de soja, c/ sal","Salad, tomato, with soy oil, with salt",,Vegetais e derivados,
C0561B,"Salada, tomate, s/ óleo, s/ sal","Salad, tomato, without oil, unsalted",,Vegetais e derivados,
C0656B,"Salada, trigo em grão, c/ azeite de oliva, c/ sal","Salad, wheat, grain, with olive oil, with salt",,Vegetais e derivados,
C0657B,"Salada, trigo em grão, c/ azeite de oliva, s/ sal","Salad, bulgur, with olive oil, unsalted",,Vegetais e derivados,
C0428B,"Salada, vegetais assados, c/ azeite de oliva, c/ sal","Salad, roasted vegetables, with olive oil, with salt",,Vegetais e derivados,
C0429B,"Salada, vegetais assados, c/ óleo de soja, c/ sal","Salad, roasted, with soy oil, with salt",,Vegetais e derivados,
C0430B,"Salada, vegetais assados, s/ óleo, s/ sal","Salad, roasted vegetables, without oil, unsalted",,Vegetais e derivados,
C0993B,"Salada, vegetais cozidos - brócolos, cenoura, couve-flor, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), c/ sal","Salad, cooked vegetables - broccoli, carrot, cauliflower, sauce with tomato, onion, parsley, vinegar and oil, with salt",,Vegetais e derivados,
C0989B,"Salada, vegetais cozidos - brócolos, cenoura,couve-flor, c/ molho vinagrete (tomate, cebola, salsa, vinagre, azeite de oliva), s/ sal","Salad, cooked vegetables - broccoli, carrot, cauliflower, sauce with tomato, onion, parsley, vinegar and oil, unsalted",,Vegetais e derivados,
C0650B,"Salada, vegetais cozidos, c/ azeite de oliva, c/ sal","Salad, cooked vegetables, with olive oil, with salt",,Vegetais e derivados,
C0652B,"Salada, vegetais cozidos, c/ molho de salada, c/ sal","Salad, cooked vegetables, with sauce for salad, with salt",,Vegetais e derivados,
C0653B,"Salada, vegetais cozidos, c/ molho de salada, c/ sal","Salad, cooked vegetables, with sauce for salad, with salt",,Vegetais e derivados,
C0654B,"Salada, vegetais cozidos, c/ molho vinagrete, c/ sal","Salad, cooked vegetables, with sauce for salad, with salt",,Vegetais e derivados,
C0651B,"Salada, vegetais cozidos, c/ óleo de soja, c/ sal","Salad, cooked vegetables, with soy oil, with salt",,Vegetais e derivados,
C0655B,"Salada, vegetais cozidos, s/ óleo, s/ sal","Salad, cooked vegetables, without oil, unsalted",,Vegetais e derivados,
C0425B,"Salada, vegetais crus, c/ azeite de oliva, c/ sal","Salad, raw vegatables, with olive oil, with salt",,Vegetais e derivados,
C0616B,"Salada, vegetais crus, c/ azeite de oliva, c/ sal","Salad, raw vegetables",,Vegetais e derivados,
C0376B,"Salada, vegetais crus, c/ azeite de oliva, c/ sal","Salad, raw vegetables, with olive oil, with salt",,Vegetais e derivados,
C0407B,"Salada, vegetais crus, c/ azeite de oliva, c/ sal","Salad, raw vegetables, with olive oil, with salt",,Vegetais e derivados,
C0410B,"Salada, vegetais crus, c/ molho de salada , c/ sal","Salad, raw vegetables, with sauce for salad, with salt",,Vegetais e derivados,
C0619B,"Salada, vegetais crus, c/ molho de salada, c/ sal","Salad, raw vegetables, with salt",,Vegetais e derivados,
C0378B,"Salada, vegetais crus, c/ molho de salada, c/ sal","Salad, raw vegetables, with sauce for salad, with salt",,Vegetais e derivados,
C0379B,"Salada, vegetais crus, c/ molho de salada, c/ sal","Salad, raw vegetables, with saude for salad, with salt",,Vegetais e derivados,
C0409B,"Salada, vegetais crus, c/ molho de salada, c/ sal","Salad, raw vegetables, with sauce for salad, with salt",,Vegetais e derivados,
C0621B,"Salada, vegetais crus, c/ molho vinagrete, c/ sal","Salad, raw vegetables, with salt",,Vegetais e derivados,
C0617B,"Salada, vegetais crus, c/ óleo de soja, c/ sal","Salad, raw vegetables",,Vegetais e derivados,
C0377B,"Salada, vegetais crus, c/ óleo de soja, c/ sal","Salad, raw vegetables, with soy oil, with salt",,Vegetais e derivados,
C0408B,"Salada, vegetais crus, c/ óleo de soja, c/ sal","Salad, raw vegetables, with soy oil, with salt",,Vegetais e derivados,
C0426B,"Salada, vegetais crus, c/ óleo de soja, c/ sal","Salad, raw vegatables, with soy oil, with salt",,Vegetais e derivados,
C0618B,"Salada, vegetais crus, c/ suco de limão, c/ azeite de oliva, c/ sal","Salad, raw vegetables, with salt",,Vegetais e derivados,
C0620B,"Salada, vegetais crus, s/ óleo, s/ sal","Salad, raw vegetables, without oil, unsalted",,Vegetais e derivados,
C0380B,"Salada, vegetais crus, s/ óleo, s/ sal","Salad, raw vegetables, without oil, unsalted",,Vegetais e derivados,
C0411B,"Salada, vegetais crus, s/ óleo, s/ sal","Salad, raw vegetables, without oil, unsalted",,Vegetais e derivados,
C0427B,"Salada, vegetais crus, s/ óleo, s/ sal","Salad, raw vegatables, without oil, unsalted",,Vegetais e derivados,
C0448B,"Salada, vegetais e frutas, c/ azeite de oliva, s/ sal","Salad, vegetables and fruits, with olive oil, unsalted",,Vegetais e derivados,
C0450B,"Salada, vegetais e frutas, c/ azeite de oliva, s/ sal","Salad, vegetables and fruits, with olive oil, unsalted",,Vegetais e derivados,
C0449B,"Salada, vegetais e frutas, s/ óleo, s/ sal","Salad, vegetables and fruits, without oil , unsalted",,Vegetais e derivados,
C0451B,"Salada, vegetais e frutas, s/ óleo, s/ sal","Salad, vegetables and fruits",,Vegetais e derivados,
C0375B,"Salada, Waldorf","Waldorf, Salad",,Vegetais e derivados,
C0431B,"Salada, Waldorf, s/ sal","Salad, Waldorf, unsalted",,Vegetais e derivados,
C0209F,"Salame, hamburguês, porco","Salami, pork",,Carnes e derivados,Sadia
C0210F,"Salame, italiano, porco","Salami, italian, pork",,Carnes e derivados,Sadia
C0211F,"Salame, milano, porco","Salami, milano, pork",,Carnes e derivados,Sadia
C0208F,"Salame, porco, lanche (média de vários tipos)","Salami, pork (average of several types)",,Carnes e derivados,
C0212F,"Salaminho, porco","Salami, pork",,Carnes e derivados,Sadia
C0062N,"Salgadinho, assado, light","Snacks, baked, light",,Alimentos para fins especiais,
C0804A,"Salgadinho, snack de trigo (média de diferentes sabores)","Snack, with wheat flour (average of several flavours)",,Cereais e derivados,
C0212A,"Salgadinho, snack, extrusado de milho","Snacks, corn-based, extruded",,Cereais e derivados,
C0788A,"Salgado assado, c/ tomante seco e manjericão","Brazilian snack, baked, with dried tomato and basil",,Cereais e derivados,
C0991A,"Salgado, massa folhada, c/ recheio de linguiça calabresa e creme de queijo (Tipo Catupiry)","Puff pastry, with stuffed calabrese sausage and cream cheese",,Cereais e derivados,
C0308E,Salmon tartare,Salmon tartare,,Pescados e Frutos do mar,
C0958B,"Salpicão, de frango, c/ sal","Brazilian chicken salad, with salt",,Vegetais e derivados,
C0134B,"Salpicão, de frango, s/ sal","Brazilian chicken salad, unsalted",,Vegetais e derivados,
C0057B,"Salsa, cozida, drenada, s/ óleo, s/ sal","Parsley, boiled, drained, without oil, unsalted",Petroselium spp.,Vegetais e derivados,
C0034B,"Salsa, crua","Parsley, raw",Petroselium spp.,Vegetais e derivados,
C0859F,"Salsicha, aquecida","Sausage, heated",,Carnes e derivados,
C0214F,"Salsicha, frango, não aquecida","Frankfurter, chicken, unheated",,Carnes e derivados,Sadia
C0215F,"Salsicha, hot dog, não aquecida","Frankfurter, hot dog, unheated",,Carnes e derivados,Sadia
C0066N,"Salsicha, light","Sausage, light",,Alimentos para fins especiais,
C0216F,"Salsicha, longuette, não aquecida","Frankfurter, unhetead",,Carnes e derivados,Sadia
C0213F,"Salsicha, não aquecida (média de vários tipos)","Frankfurter, unheated (average of several types)",,Carnes e derivados,
C0038T,"Salsicha, soja, crua","Sausage, soy protein, raw",Glycine max L.,Leguminosas e derivados,
C0737F,"Salsicha, tradicional, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal","Frankfurter, with white sauce (wheat flout, butter and milk), with salt",,Carnes e derivados,
C0738F,"Salsicha, tradicional, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Frankfurter, with tomato sauce (tomato, with oil, onion and garlic), with salt",,Carnes e derivados,
C0217F,"Salsichão, não aquecido","Frankfurter, unhetead",,Carnes e derivados,Sadia
C0286A,"Sanduíche, queijo quente, pão forma integral, c/ queijo prato","Sandwich, whole wheat bread, with prato cheese",,Cereais e derivados,
C0285A,"Sanduíche, queijo quente, pão forma integral, c/ queijo prato e maionese","Sandwich, whole wheat bread, with prato cheese and mayonnaise",,Cereais e derivados,
C0283A,"Sanduíche, queijo quente, pão forma integral, c/ queijo prato e margarina","Sandwich, whole wheat bread, with prato cheese and margarine",,Cereais e derivados,
C0289A,"Sanduíche, queijo quente, pão francês, c/ queijo prato","Sandwich, french bread, with prato cheese",,Cereais e derivados,
C0288A,"Sanduíche, queijo quente, pão francês, c/ queijo prato, c/ maionese","Sandwich, french bread, with prato cheese, with mayonnaise",,Cereais e derivados,
C0259A,"Sanduíche, americano (pão forma integral), c/ presunto, queijo muçarela, alface, tomate, ovo frito , c/ maionese","Sandwich, whole wheat bread, with ham mozzarella cheese, lettuce, tomato, fried egg, with mayonnaise",,Cereais e derivados,
C0258A,"Sanduíche, americano (pão forma integral), presunto, queijo muçarela, alface, tomate, ovo frito e maionese","Sandwich, white bread, with ham, mozzarella cheese, lettuce, tomato, fried egg and mayonnaise",,Cereais e derivados,
C0257A,"Sanduíche, americano (pão forma tradicional), c/ presunto, queijo muçarela, alface, tomate e ovo frito","Sandwich, white bread, with ham, mozzarella cheese, lettuce, tomato and fried egg",,Cereais e derivados,
C0256A,"Sanduíche, americano (pão forma tradicional), c/ presunto, queijo muçarela, alface, tomate, ovo frito, c/ maionese","Sandwich, white bread, with ham, mozzarella cheese, lettuce, tomato, fried egg, with mayonnaise",,Cereais e derivados,
C0411A,"Sanduíche, americano (pão francês, c/ presunto, queijo muçarela, alface, tomate e ovo frito)","Sandwich, white bread, with ham, mozzarella cheese, lettuce, tomato and fried egg",,Cereais e derivados,
C0383A,"Sanduíche, baguete, c/ queijo muçarela, alface, tomate e mortadela","Sandwich, baguete bread, with mozzarella cheese, lettuce, tomato and mortadella",,Cereais e derivados,
C0385A,"Sanduíche, baguete, c/ queijo muçarela, alface, tomate e presunto","Sandwich, baguete bread, with mozzarella cheese, lettuce, tomato and ham",,Cereais e derivados,
C0387A,"Sanduíche, baguete, c/ queijo muçarela, alface, tomate e salame","Sandwich, baguete bread, with mozzarella cheese, lettuce, tomato and salami",,Cereais e derivados,
C0386A,"Sanduíche, baguete, c/ queijo muçarela, alface, tomate, atum em conserva, c/ maionese","Sandwich, baguete bread, with mozzarella cheese, lettuce, tomato, tuna canned, with mayonnaise",,Cereais e derivados,
C0384A,"Sanduíche, baguete, c/ queijo muçarela, alface, tomate, peito de frango grelhado, c/ maionese","Sandwich, baguete bread, with mozzarella cheese, lettuce, tomato breast chicken grilled, with mayonnaise",,Cereais e derivados,
C0412A,"Sanduíche, bauru (pão francês, c/ presunto, queijo muçarela e tomate)","Sandwich, white bread, with ham, mozzarella cheese and tomato",,Cereais e derivados,
C0001M,"Sanduíche, Big Mac, McDonald´s","Sandwich, Big Mac, McDonald´s",,Miscelânea,
C0240A,"Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ catchup, mostarda e maionese","Sandwich, hot dog, bread, with ketchup, mustard and mayonnaise",,Cereais e derivados,
C0241A,"Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ catchup, mostarda, maionese, milho, ervilha, purê de batata, molho vinagrete e batata palha","Sandwich, hot dog, bread, with ketchup, mustard, mayonnaise, green pea and corn canned, potato mashed, potato fried and with sauce (tomato, onion, parsley, vinegar and oil)",,Cereais e derivados,
C0242A,"Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ milho, ervilha, batata palha e molho de tomate","Sandwich, hot dog, bread, with green pea and corn canned, potato fried and tomato sauce",,Cereais e derivados,
C0243A,"Sanduíche, cachorro quente (c/ pão hot dog e salsicha), c/ molho de tomate","Sandwich, hot dog, bread, with tomato sauce",,Cereais e derivados,
C0366A,"Sanduíche, cachorro quente, (c/ pão para hot dog e salsicha de frango), c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal)","Sandwich, hot dog, chicken sausage, with tomato sauce (tomato, with oil, onion and garlic, with salt)",,Cereais e derivados,
C0363A,"Sanduíche, cachorro quente, (c/ pão para hot dog e salsicha de frango), c/ catchup, mostarda, c/ maionese","Sandwich, hot dog, chicken sausage, with ketchup, mustard, with mayonnaise",,Cereais e derivados,
C0364A,"Sanduíche, cachorro quente, (c/ pão para hot dog e salsicha de frango), c/ catchup, mostarda, maionese, milho, ervilha, purê de batata, molho vinagrete e batata palha","Sandwich, hot dog, chicken sausage, with ketchup, mustard, mayonnaise, green pea and corn canned, potato mashed, potato fried and Sauce (tomato, onion, parsley, vinegar and oil)",,Cereais e derivados,
C0365A,"Sanduíche, cachorro quente, (c/ pão para hot dog e salsicha de frango), c/ milho, ervilha, batata palha, c/ molho de tomate (tomate, c/ óleo, cebola e alho, c/ sal)","Sandwich, hot dog, chicken sausage, with green pea and corn canned, potato fried, with tomato sauce (tomato, with oil, onion and garlic, with salt)",,Cereais e derivados,
C0252A,"Sanduíche, cheese salad, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato, alface, tomate e maionese","Sandwich, cheese salad, grilled beef burger, bread, with prato cheese, lettuce, tomato and mayonnaise",,Cereais e derivados,
C0253A,"Sanduíche, cheese salad, hambúrguer bovino grelhado (c/ pão hambúrguer), queijo prato, alface e tomate","Sandwich, cheese salad, grilled beef burger, bread, with prato cheese, lettuce and tomato",,Cereais e derivados,
C0865A,"Sanduíche, cheese salada, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo muçarela, alface e tomate","Sandwich, cheesesalad, grilled beef burger, bread, with mozzarella cheese, lettuce and tomato",,Cereais e derivados,
C0866A,"Sanduíche, cheese salada, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo muçarela, alface, tomate e maionese","Sandwich, cheese salad, grilled beef burger, bread, with mozzarella cheese, lettuce, tomato and mayonnaise",,Cereais e derivados,
C0863A,"Sanduíche, cheeseburguer, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo muçarela","Sandwich, cheeseburger, grilled beef burger, bread, with mozzarella cheese",,Cereais e derivados,
C0864A,"Sanduíche, cheeseburguer, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo muçarela e maionese","Sandwich, cheeseburger, grilled beef burger, bread, with mozzarella cheese and mayonnaise",,Cereais e derivados,
C0248A,"Sanduíche, cheeseburguer, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato","Sandwich, cheeseburger, grilled beef burger, bread, with prato cheese",,Cereais e derivados,
C0007M,"Sanduíche, Cheeseburguer, McDonald´s","Sandwich, Cheeseburger, McDonald´s",,Fast food,
C0010M,"Sanduíche, Double Whopper, c/ queijo, Burguer King","Sandwich, Double Whopper, with cheese, Burger King",,Fast food,
C0011M,"Sanduíche, Duplo cheeseburguer, Burguer King","Sandwich, Double cheeseburger, Burger King",,Fast food,
C0245A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer)","andwich, grilled beef burger, bread",,Cereais e derivados,
C0291A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ ovo frito","Sandwich, grilled beef burger, bread, with fried egg",,Cereais e derivados,
C0250A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ alface e tomate","Sandwich, grilled beef burger, bread, with lettuce and tomato",,Cereais e derivados,
C0251A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ alface, tomate e maionese","Sandwich, grilled beef burger, bread, with lettuce, tomato and mayonnaise",,Cereais e derivados,
C0293A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ alface, tomate e ovo frito","Sandwich, grilled beef burger, bread, with lettuce, tomato and fried egg",,Cereais e derivados,
C0294A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ alface, tomate, ovo frito, c/ maionese","Sandwich, grilled beef burger, bread, with lettuce, tomato, fried egg, with mayonnaise",,Cereais e derivados,
C0848A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ alface, tomate, queijo prato, toucinho defumado (bacon), c/ maionese","Sandwich, grilled beef burger, bread, with lettuce, tomato, prato cheese, bacon, with mayonnaise",,Cereais e derivados,
C0244A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ catchup, mostarda e maionese","Sandwich, grilled beef burger, bread, with ketchup, mustard and mayonnaise",,Cereais e derivados,
C0246A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ maionese","Sandwich, grilled beef burger, bread and mayonnaise",,Cereais e derivados,
C0292A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ ovo frito, c/ maionese","Sandwich, grilled beef burger, bread, with fried egg, with mayonnaise",,Cereais e derivados,
C0841A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo cheddar, alface e tomate","Sandwich, grilled beef burger, bread, with cheddar cheese, lettuce and tomato",,Cereais e derivados,
C0249A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato e maionese","Sandwich, grilled beef burger, bread, with prato cheese and mayonnaise",,Cereais e derivados,
C0247A,"Sanduíche, hambúrguer bovino grelhado (c/ pão hambúrguer), c/ queijo prato, cebola e pepino","Sandwich, grilled beef burger, bread, with prato cheese, onion and cucumber",,Cereais e derivados,
C1075A,"Sanduíche, hambúrguer de grão de bico (pão vegano), alface e tomate, c/ maionese vegana",,,Cereais e derivados,
C1060A,"Sanduíche, hambúrguer frango grelhado (c/ pão hambúrguer), c/ queijo muçarelca, alface, tomate e maionese","Sandwich, grilled chicken burger, bread, with mozzarella cheese, lettuce, tomato and mayonnaise",,Cereais e derivados,
C0318A,"Sanduíche, hambúrguer grelhado (c/ pão hambúrguer), c/ alface, tomate, queijo prato, maionese e ovo frito","Sandwich, grilled beef burger, bread, with lettuce, tomato, prato cheese, mayonnaise and fried egg",,Cereais e derivados,
C0008M,"Sanduíche, Hambúrguer, McDonald´s","Sandwich, Hamburger, McDonald´s",,Fast food,
C0264A,"Sanduíche, misto quente, pão forma integral, c/ presunto e queijo muçarela","Sandwich, whole wheat bread, with ham and mozzarella cheese",,Cereais e derivados,
C0261A,"Sanduíche, misto quente, pão forma integral, c/ presunto, queijo muçarela, c/ maionese","Sandwich, whole white bread, with ham, mozzarella cheese, with mayonnaise",,Cereais e derivados,
C0263A,"Sanduíche, misto quente, pão forma integral, c/ presunto, queijo muçarela, c/ maionese","Sandwich, whole wheat bread, with ham, mozzarella cheese, with mayonnaise",,Cereais e derivados,
C0271A,"Sanduíche, misto quente, pão forma integral, c/ presunto, queijo muçarela, c/ margarina","Sandwich, whole wheat bread, with ham, mozzarella cheese, with margarine",,Cereais e derivados,
C0260A,"Sanduíche, misto quente, pão forma tradicional, c/ presunto, queijo muçarela, c/ maionese","Sandwich, white bread, with ham, mozzarella cheese, with mayonnaise",,Cereais e derivados,
C0262A,"Sanduíche, misto quente, pão forma tradicional, c/ presunto, queijo muçarela, c/ manteiga","Sandwich, white bread, with ham, mozzarella cheese, with butter",,Cereais e derivados,
C0269A,"Sanduíche, misto quente, pão forma tradicional, c/ presunto, queijo muçarela, c/ margarina","Sandwich, white bread, with ham, mozzarella cheese, with margarine",,Cereais e derivados,
